0	0	0.096260
0	1	0.001124
0	2	0.000433
1	0	0.005856
1	1	0.001810
1	2	0.001287
2	0	0.005544
2	1	0.002579
2	2	0.000493
3	0	0.004040
3	1	0.001966
3	2	0.000253
4	0	0.006614
4	1	0.000992
4	2	0.000132
5	0	0.004437
5	1	0.002459
5	2	0.000896
6	0	0.003878
6	1	0.001738
6	2	0.000685
7	0	0.005736
7	1	0.001894
7	2	0.000277
8	0	0.002982
8	1	0.001750
8	2	0.000277
9	0	0.002928
9	1	0.001383
9	2	0.000938
10	0	0.002399
10	1	0.002411
10	2	0.000547
11	0	0.002778
11	1	0.002183
11	2	0.000481
12	0	0.005748
12	1	0.002808
12	2	0.000277
13	0	0.002706
13	1	0.003529
13	2	0.000475
14	0	0.004359
14	1	0.003842
14	2	0.000222
15	0	0.001840
15	1	0.003217
15	2	0.000553
16	0	0.008027
16	1	0.003349
16	2	0.000253
17	0	0.003794
17	1	0.003752
17	2	0.000433
18	0	0.003758
18	1	0.004557
18	2	0.000210
19	0	0.006734
19	1	0.003698
19	2	0.000325
20	0	0.002345
20	1	0.002712
20	2	0.000186
21	0	0.003295
21	1	0.005712
21	2	0.000391
22	0	0.002495
22	1	0.004720
22	2	0.000162
23	0	0.002525
23	1	0.002958
23	2	0.000361
24	0	0.007143
24	1	0.006800
24	2	0.000253
25	0	0.002291
25	1	0.005640
25	2	0.000403
26	0	0.003145
26	1	0.003992
26	2	0.000307
27	0	0.002549
27	1	0.005153
27	2	0.000301
28	0	0.002892
28	1	0.004299
28	2	0.000301
29	0	0.008171
29	1	0.005105
29	2	0.000265
30	0	0.002297
30	1	0.004612
30	2	0.000259
31	0	0.003120
31	1	0.005339
31	2	0.000259
32	0	0.002856
32	1	0.001425
32	2	0.000138
33	0	0.003024
33	1	0.004203
33	2	0.000210
34	0	0.008351
34	1	0.005898
34	2	0.000180
35	0	0.001960
35	1	0.001870
35	2	0.000283
36	0	0.003223
36	1	0.004846
36	2	0.000102
37	0	0.003120
37	1	0.006193
37	2	0.000337
38	0	0.003722
38	1	0.001984
38	2	0.000144
39	0	0.007804
39	1	0.005237
39	2	0.000198
40	0	0.003553
40	1	0.006067
40	2	0.000277
41	0	0.003692
41	1	0.001245
41	2	0.000247
42	0	0.003271
42	1	0.000553
42	2	0.000186
43	0	0.007287
